No,Sex,Body site
962,male ,volar forearm 
963,male ,volar forearm 
964,male ,popliteal fossa 
965,male ,popliteal fossa 
966,male ,popliteal fossa 
967,male ,popliteal fossa 
968,male ,antecubital fossa 
969,male ,antecubital fossa 
970,male ,nare 
971,male ,nare 
972,male ,antecubital fossa 
973,male ,antecubital fossa 
974,male ,volar forearm 
975,male ,volar forearm 
976,male ,popliteal fossa 
977,male ,popliteal fossa 
978,male ,volar forearm 
979,male ,volar forearm 
980,male ,popliteal fossa 
981,male ,popliteal fossa 
982,male ,nare 
983,male ,nare 
984,female ,antecubital fossa 
985,female ,antecubital fossa 
986,female ,volar forearm 
987,female ,volar forearm 
988,female ,antecubital fossa 
989,female ,antecubital fossa 
990,female ,volar forearm 
991,female ,volar forearm 
992,female ,popliteal fossa 
993,female ,popliteal fossa 
994,female ,popliteal fossa 
995,female ,popliteal fossa 
996,female ,nare 
997,female ,nare 
998,female ,antecubital fossa 
999,female ,antecubital fossa 
1000,female ,antecubital fossa 
1001,female ,antecubital fossa 
1002,female ,volar forearm 
1003,female ,volar forearm 
1004,female ,volar forearm 
1005,female ,volar forearm 
1006,female ,popliteal fossa 
1007,female ,popliteal fossa 
1008,female ,popliteal fossa 
1009,female ,popliteal fossa 
1010,female ,nare 
1011,female ,nare 
1012,female ,antecubital fossa 
1013,female ,antecubital fossa 
1014,female ,antecubital fossa 
1015,female ,antecubital fossa 
1016,female ,volar forearm 
1017,female ,volar forearm 
1018,female ,volar forearm 
1019,female ,volar forearm 
1020,female ,popliteal fossa 
1021,female ,popliteal fossa 
1022,female ,popliteal fossa 
1023,female ,popliteal fossa 
1024,female ,nare 
1025,female ,nare 
1026,male ,antecubital fossa 
1027,male ,antecubital fossa 
1028,male ,antecubital fossa 
1029,male ,antecubital fossa 
1030,male ,volar forearm 
1031,male ,volar forearm 
1032,male ,volar forearm 
1033,male ,volar forearm 
1034,male ,popliteal fossa 
1035,male ,popliteal fossa 
1036,male ,popliteal fossa 
1037,male ,popliteal fossa 
1038,male ,nare 
1039,male ,nare 
1040,male ,antecubital fossa 
1041,male ,antecubital fossa 
1042,male ,antecubital fossa 
1043,male ,antecubital fossa 
1044,male ,volar forearm 
1045,male ,volar forearm 
1046,male ,volar forearm 
1047,male ,volar forearm 
1048,male ,popliteal fossa 
1049,male ,popliteal fossa 
1050,male ,popliteal fossa 
1051,male ,popliteal fossa 
1052,male ,nare 
1053,male ,nare 
1054,male ,antecubital fossa 
1055,male ,antecubital fossa 
1056,male ,antecubital fossa 
1057,male ,antecubital fossa 
1058,male ,volar forearm 
1059,male ,volar forearm 
1060,male ,volar forearm 
1061,male ,volar forearm 
1062,male ,popliteal fossa 
1063,male ,popliteal fossa 
1064,male ,nare 
1065,male ,nare 
1066,male ,popliteal fossa 
1067,male ,popliteal fossa 
1068,male ,antecubital fossa 
1069,male ,antecubital fossa 
1070,male ,volar forearm 
1071,male ,volar forearm 
1072,male ,nare 
1073,male ,nare 
1074,male ,retroauricular crease 
1075,male ,retroauricular crease 
1076,male ,antecubital fossa 
1077,male ,antecubital fossa 
1078,male ,volar forearm 
1079,male ,volar forearm 
1080,male ,nare 
1081,male ,nare 
1082,male ,retroauricular crease 
1083,male ,retroauricular crease 
1084,male ,antecubital fossa 
1085,male ,antecubital fossa 
1086,male ,volar forearm 
1087,male ,volar forearm 
1088,male ,retroauricular crease 
1089,male ,retroauricular crease 
1090,male ,nare 
1091,male ,nare 
1092,male ,antecubital fossa 
1093,male ,antecubital fossa 
1094,male ,volar forearm 
1095,male ,volar forearm 
1096,male ,nare 
1097,male ,nare 
1098,male ,retroauricular crease 
1099,male ,retroauricular crease 
1100,male ,antecubital fossa 
1101,male ,antecubital fossa 
1102,male ,volar forearm 
1103,male ,volar forearm 
1104,male ,nare 
1105,male ,nare 
1106,male ,retroauricular crease 
1107,male ,retroauricular crease 
1108,male ,antecubital fossa 
1109,male ,antecubital fossa 
1110,male ,antecubital fossa 
1111,male ,antecubital fossa 
1112,male ,volar forearm 
1113,male ,volar forearm 
1114,male ,nare 
1115,male ,nare 
1116,male ,retroauricular crease 
1117,male ,retroauricular crease 
1118,male ,antecubital fossa 
1119,male ,antecubital fossa 
1120,male ,antecubital fossa 
1121,male ,antecubital fossa 
1122,male ,volar forearm 
1123,male ,volar forearm 
1124,male ,retroauricular crease 
1125,male ,retroauricular crease 
1126,male ,nare 
1127,male ,nare 
1128,female ,antecubital fossa 
1129,female ,antecubital fossa 
1130,female ,antecubital fossa 
1131,female ,antecubital fossa 
1132,female ,volar forearm 
1133,female ,volar forearm 
1134,female ,nare 
1135,female ,nare 
1136,female ,retroauricular crease 
1137,female ,retroauricular crease 
1138,male ,antecubital fossa 
1139,male ,antecubital fossa 
